Array X Count, Array Y Count,Start X ,Start Y, ResolutionX , ResolutionY
15,15,-57.610,48.300,8.230,-6.900
0519.503,0146.138	0727.320,0140.773	0938.112,0134.937	1152.044,0128.660	1369.008,0121.885	1588.879,0114.609	1811.593,0106.813	2037.338,0098.564	2265.825,0089.810	2496.463,0080.440	2729.201,0070.573	2963.984,0060.056	3200.628,0049.046	3438.898,0037.545	3678.743,0025.540	
0511.190,0338.931	0720.210,0334.209	0932.213,0329.116	1147.269,0323.636	1365.417,0317.648	1586.488,0311.225	1810.386,0304.384	2037.377,0297.147	2267.093,0289.497	2499.166,0281.310	2733.406,0272.726	2969.653,0263.523	3207.626,0253.896	3447.374,0243.819	3688.889,0233.219	
0504.432,0532.339	0714.343,0528.284	0927.308,0523.950	1143.411,0519.156	1362.661,0513.992	1584.632,0508.565	1809.570,0502.737	2037.608,0496.465	2268.375,0489.954	2501.773,0482.941	2737.046,0475.606	2974.362,0467.773	3213.671,0459.504	3454.699,0450.947	3697.393,0441.932	
0498.927,0726.573	0709.691,0723.122	0923.489,0719.395	1140.365,0715.390	1360.344,0711.036	1583.193,0706.513	1808.961,0701.643	2037.947,0696.417	2269.588,0691.051	2503.931,0685.264	2740.203,0679.176	2978.434,0672.763	3218.689,0665.968	3460.773,0658.898	3704.776,0651.507	
0494.778,0921.126	0706.213,0918.253	0920.704,0915.231	1138.193,0911.979	1358.856,0908.524	1582.318,0904.933	1808.778,0901.002	2038.259,0896.931	2270.710,0892.661	2505.808,0888.082	2742.842,0883.243	2981.753,0878.216	3222.692,0872.936	3465.759,0867.404	3710.825,0861.742	
0491.941,1116.006	0703.937,1113.759	0918.931,1111.410	1136.903,1108.975	1357.973,1106.358	1581.954,1103.682	1808.828,1100.805	2038.857,1097.808	2271.705,1094.661	2507.152,1091.284	2744.686,1087.894	2984.136,1084.191	3225.867,1080.452	3469.562,1076.498	3715.422,1072.439	
0490.494,1311.021	0702.772,1309.441	0918.091,1307.855	1136.348,1306.120	1357.806,1304.380	1581.963,1302.646	1809.053,1300.781	2039.348,1298.881	2272.419,1296.915	2508.197,1294.855	2745.943,1292.732	2985.917,1290.474	3228.040,1288.181	3472.159,1285.912	3718.416,1283.461	
0490.217,1506.277	0702.736,1505.300	0918.232,1504.359	1136.723,1503.453	1358.146,1502.594	1582.384,1501.734	1809.672,1500.894	2040.005,1500.033	2273.086,1499.225	2508.874,1498.429	2746.774,1497.746	2986.902,1496.937	3229.167,1496.131	3473.498,1495.413	3719.792,1494.722	
0491.244,1701.568	0703.812,1701.285	0919.335,1701.077	1137.821,1700.967	1359.121,1700.916	1583.256,1700.977	1810.379,1701.125	2040.718,1701.376	2273.516,1701.825	2509.053,1702.251	2746.928,1702.908	2987.070,1703.555	3229.320,1704.256	3473.704,1705.174	3719.871,1706.100	
0493.503,1896.775	0705.928,1897.104	0921.320,1897.611	1139.633,1898.272	1360.754,1899.077	1584.654,1900.057	1811.421,1901.211	2041.272,1902.655	2273.878,1904.140	2508.976,1905.943	2746.525,1907.894	2986.486,1909.978	3228.527,1912.244	3472.453,1914.801	3718.366,1917.350	
0496.884,2091.941	0709.087,2092.962	0924.183,2094.126	1142.086,2095.597	1362.901,2097.199	1586.333,2099.121	1812.721,2101.312	2042.068,2103.849	2273.979,2106.541	2508.552,2109.568	2745.617,2112.868	2985.051,2116.285	3226.557,2120.145	3469.995,2124.237	3715.395,2128.623	
0501.577,2286.924	0713.172,2288.518	0927.833,2290.412	1145.228,2292.653	1365.553,2295.146	1588.448,2298.012	1814.107,2301.187	2042.777,2304.785	2273.982,2308.698	2507.823,2312.930	2744.108,2317.492	2982.836,2322.489	3223.550,2327.827	3466.222,2333.434	3710.914,2339.424	
0507.455,2481.534	0718.362,2483.834	0932.282,2486.441	1149.067,2489.426	1368.705,2492.851	1590.902,2496.638	1815.781,2500.831	2043.425,2505.407	2273.885,2510.512	2506.767,2515.984	2742.024,2521.892	2979.772,2528.238	3219.441,2535.030	3461.127,2542.163	3704.854,2549.877	
0514.566,2676.106	0724.623,2679.026	0937.672,2682.279	1153.614,2686.038	1372.262,2690.220	1593.613,2694.962	1817.524,2700.140	2044.182,2705.876	2273.436,2712.068	2505.177,2718.811	2739.315,2725.972	2975.903,2733.752	3214.293,2741.916	3454.856,2750.697	3697.167,2759.866	
0523.015,2870.170	0731.892,2873.762	0943.918,2877.738	1158.761,2882.191	1376.296,2887.216	1596.596,2892.870	1819.321,2899.016	2044.871,2905.818	2272.887,2913.091	2503.265,2921.013	2736.120,2929.474	2971.207,2938.452	3208.253,2948.118	3447.323,2958.313	3688.183,2969.042	
