Array X Count, Array Y Count, ResolutionX ,ResolutionY
33,33,-49.000,49.000,3.0625,-3.0625
0882.000,0133.500	0961.000,0131.500	1040.000,0129.500	1120.000,0126.500	1200.000,0124.500	1281.000,0122.500	1362.000,0119.500	1443.000,0117.500	1524.000,0114.500	1606.000,0111.500	1688.000,0109.500	1771.000,0106.500	1854.000,0103.500	1937.000,0100.500	2020.000,0097.500	2104.000,0093.500	2188.000,0091.500	2273.000,0087.500	2357.000,0084.500	2443.000,0080.500	2528.000,0077.500	2614.000,0073.500	2700.000,0069.500	2787.000,0065.500	2873.000,0062.500	2960.000,0057.500	3047.000,0054.500	3134.000,0049.500	3221.000,0045.500	3309.000,0041.500	3313.000,0131.500	3396.000,0037.500	3401.000,0127.500	
0725.000,0136.500	0801.000,0220.500	0804.000,0135.500	0880.000,0218.500	0959.000,0216.500	1038.000,0214.500	1118.000,0212.500	1199.000,0210.500	1279.000,0208.500	1360.000,0206.500	1442.000,0203.500	1524.000,0201.500	1606.000,0198.500	1688.000,0195.500	1771.000,0193.500	1854.000,0190.500	1937.000,0187.500	2021.000,0184.500	2105.000,0181.500	2189.000,0178.500	2274.000,0175.500	2359.000,0172.500	2444.000,0168.500	2530.000,0165.500	2617.000,0161.500	2703.000,0158.500	2789.000,0154.500	2876.000,0151.500	2963.000,0147.500	3050.000,0143.500	3138.000,0139.500	3225.000,0135.500	3405.000,0218.500	
0720.000,0307.500	0723.000,0222.500	0799.000,0305.500	0877.000,0304.500	0957.000,0302.500	1036.000,0300.500	1117.000,0298.500	1197.000,0296.500	1278.000,0294.500	1359.000,0292.500	1441.000,0289.500	1523.000,0287.500	1605.000,0285.500	1688.000,0282.500	1771.000,0280.500	1854.000,0277.500	1937.000,0275.500	2021.000,0272.500	2106.000,0268.500	2190.000,0266.500	2275.000,0263.500	2360.000,0260.500	2446.000,0257.500	2532.000,0253.500	2618.000,0250.500	2705.000,0247.500	2792.000,0243.500	2878.000,0240.500	2966.000,0237.500	3054.000,0233.500	3141.000,0229.500	3229.000,0225.500	3317.000,0222.500	
0717.000,0393.500	0796.000,0391.500	0875.000,0389.500	0955.000,0388.500	1035.000,0386.500	1115.000,0384.500	1196.000,0382.500	1277.000,0380.500	1358.000,0378.500	1440.000,0376.500	1522.000,0374.500	1605.000,0372.500	1687.000,0369.500	1770.000,0367.500	1854.000,0364.500	1938.000,0362.500	2022.000,0359.500	2106.000,0356.500	2191.000,0354.500	2276.000,0351.500	2362.000,0348.500	2448.000,0345.500	2534.000,0342.500	2620.000,0339.500	2707.000,0336.500	2794.000,0333.500	2881.000,0330.500	2969.000,0326.500	3057.000,0323.500	3145.000,0319.500	3233.000,0316.500	3321.000,0312.500	3409.000,0309.500	
0715.000,0478.500	0794.000,0477.500	0873.000,0475.500	0953.000,0474.500	1033.000,0472.500	1113.000,0470.500	1194.000,0468.500	1276.000,0466.500	1357.000,0465.500	1439.000,0463.500	1521.000,0460.500	1604.000,0458.500	1687.000,0456.500	1770.000,0454.500	1854.000,0451.500	1938.000,0449.500	2022.000,0447.500	2107.000,0444.500	2192.000,0442.500	2277.000,0439.500	2363.000,0436.500	2449.000,0434.500	2535.000,0431.500	2622.000,0428.500	2709.000,0425.500	2796.000,0422.500	2884.000,0419.500	2972.000,0416.500	3060.000,0412.500	3148.000,0409.500	3236.000,0406.500	3325.000,0403.500	3413.000,0399.500	
0713.000,0564.500	0792.000,0562.500	0872.000,0561.500	0951.000,0559.500	1031.000,0558.500	1112.000,0556.500	1193.000,0554.500	1274.000,0553.500	1356.000,0551.500	1438.000,0549.500	1521.000,0547.500	1604.000,0545.500	1687.000,0543.500	1770.000,0541.500	1854.000,0539.500	1938.000,0537.500	2023.000,0535.500	2107.000,0532.500	2193.000,0530.500	2278.000,0527.500	2364.000,0525.500	2450.000,0522.500	2537.000,0520.500	2624.000,0517.500	2711.000,0514.500	2799.000,0511.500	2886.000,0508.500	2975.000,0505.500	3063.000,0503.500	3151.000,0499.500	3240.000,0496.500	3328.000,0493.500	3417.000,0490.500	
0711.000,0649.500	0790.000,0648.500	0870.000,0647.500	0950.000,0645.500	1030.000,0644.500	1111.000,0642.500	1192.000,0641.500	1273.000,0639.500	1355.000,0638.500	1438.000,0636.500	1520.000,0634.500	1603.000,0632.500	1686.000,0630.500	1770.000,0628.500	1854.000,0626.500	1938.000,0624.500	2023.000,0622.500	2108.000,0620.500	2193.000,0618.500	2279.000,0616.500	2365.000,0613.500	2451.000,0611.500	2538.000,0609.500	2625.000,0606.500	2713.000,0603.500	2800.000,0601.500	2888.000,0598.500	2977.000,0595.500	3065.000,0593.500	3154.000,0590.500	3243.000,0587.500	3331.000,0584.500	3420.000,0581.500	
0710.000,0735.500	0789.000,0734.500	0868.000,0733.500	0949.000,0731.500	1029.000,0730.500	1110.000,0729.500	1191.000,0727.500	1273.000,0726.500	1355.000,0724.500	1437.000,0723.500	1520.000,0721.500	1603.000,0719.500	1686.000,0717.500	1770.000,0716.500	1854.000,0714.500	1939.000,0712.500	2023.000,0710.500	2109.000,0708.500	2194.000,0706.500	2280.000,0704.500	2366.000,0702.500	2453.000,0700.500	2539.000,0697.500	2627.000,0695.500	2715.000,0692.500	2802.000,0690.500	2890.000,0688.500	2978.000,0685.500	3067.000,0683.500	3156.000,0680.500	3245.000,0677.500	3334.000,0675.500	3423.000,0672.500	
0708.000,0821.500	0788.000,0820.500	0867.000,0818.500	0947.000,0817.500	1028.000,0816.500	1109.000,0815.500	1190.000,0814.500	1272.000,0812.500	1354.000,0811.500	1437.000,0809.500	1519.000,0808.500	1603.000,0806.500	1686.000,0805.500	1770.000,0803.500	1854.000,0801.500	1939.000,0800.500	2024.000,0798.500	2109.000,0796.500	2195.000,0794.500	2281.000,0792.500	2367.000,0790.500	2454.000,0788.500	2541.000,0786.500	2628.000,0784.500	2716.000,0782.500	2803.000,0780.500	2891.000,0778.500	2980.000,0776.500	3069.000,0773.500	3158.000,0771.500	3247.000,0768.500	3337.000,0766.500	3425.000,0764.500	
0707.000,0906.500	0787.000,0906.500	0866.000,0904.500	0946.000,0903.500	1027.000,0902.500	1108.000,0901.500	1190.000,0900.500	1271.000,0899.500	1353.000,0897.500	1436.000,0896.500	1519.000,0895.500	1602.000,0893.500	1686.000,0892.500	1770.000,0891.500	1854.000,0889.500	1939.000,0887.500	2024.000,0886.500	2110.000,0884.500	2195.000,0882.500	2281.000,0881.500	2368.000,0879.500	2455.000,0877.500	2542.000,0875.500	2629.000,0873.500	2717.000,0871.500	2805.000,0870.500	2893.000,0868.500	2982.000,0866.500	3070.000,0864.500	3160.000,0862.500	3249.000,0859.500	3339.000,0857.500	3428.000,0855.500	
0706.000,0992.500	0785.000,0991.500	0865.000,0990.500	0946.000,0990.500	1026.000,0989.500	1107.000,0988.500	1189.000,0987.500	1271.000,0985.500	1353.000,0984.500	1436.000,0983.500	1519.000,0982.500	1602.000,0981.500	1686.000,0979.500	1770.000,0978.500	1855.000,0977.500	1939.000,0975.500	2025.000,0974.500	2110.000,0972.500	2196.000,0971.500	2282.000,0969.500	2369.000,0968.500	2455.000,0966.500	2543.000,0964.500	2630.000,0963.500	2718.000,0961.500	2806.000,0959.500	2894.000,0958.500	2983.000,0956.500	3072.000,0954.500	3161.000,0952.500	3251.000,0950.500	3341.000,0948.500	3430.000,0946.500	
