Array X Count, Array Y Count,Start X ,Start Y, ResolutionX , ResolutionY
11,11,-49.25,49.25,9.85,-9.85
0750.797,0133.123	1000.202,0127.051	1253.708,0120.315	1511.184,0112.766	1772.405,0104.334	2037.218,0095.129	2305.516,0085.097	2577.359,0074.200	2852.443,0062.469	3130.712,0049.936	3411.556,0036.492	
0741.436,0406.146	0992.497,0401.258	1247.897,0395.789	1507.236,0389.650	1770.431,0382.899	2037.346,0375.366	2307.753,0367.219	2582.092,0358.282	2859.538,0348.759	3140.318,0338.431	3423.574,0327.502	
0734.704,0679.824	0987.279,0676.096	1243.839,0671.917	1504.546,0667.196	1769.415,0662.049	2037.942,0656.281	2310.121,0650.017	2586.164,0643.153	2865.475,0635.821	3148.194,0627.886	3433.333,0619.334	
0730.326,0953.680	0983.787,0951.148	1241.535,0948.305	1503.164,0945.080	1769.027,0941.569	2038.626,0937.600	2312.044,0933.152	2589.358,0928.464	2870.054,0923.325	3154.054,0917.827	3440.581,0911.927	
0728.119,1227.881	0982.211,1226.490	1240.417,1224.960	1502.718,1223.170	1769.192,1221.225	2039.511,1219.033	2313.655,1216.687	2591.715,1214.022	2873.272,1211.184	3158.103,1208.092	3445.276,1204.791	
0728.097,1501.894	0982.269,1501.737	1240.651,1501.416	1503.132,1501.170	1769.796,1500.887	2039.374,1500.982	2314.689,1500.025	2593.102,1499.513	2874.831,1498.972	3159.913,1498.285	3447.434,1497.651	
0730.138,1775.858	0983.940,1776.822	1242.127,1777.905	1504.360,1779.056	1770.756,1780.352	2041.057,1781.762	2315.210,1783.260	2593.229,1784.860	2874.887,1786.640	3159.723,1788.406	3446.865,1790.353	
0734.081,2049.310	0987.214,2051.570	1244.598,2053.966	1506.179,2056.729	1771.836,2059.583	2041.437,2062.752	2314.982,2066.151	2592.442,2069.871	2873.361,2073.852	3157.419,2078.072	3443.837,2082.690	
0740.080,2322.324	0992.022,2325.763	1248.244,2329.476	1508.688,2333.649	1773.200,2338.126	2041.809,2343.084	2314.242,2348.360	2590.330,2354.151	2870.156,2360.360	3152.950,2367.010	3438.201,2374.119	
0747.953,2594.857	0998.459,2599.310	1253.083,2604.399	1511.881,2610.010	1774.913,2616.033	2041.859,2622.843	2312.585,2630.065	2587.245,2637.806	2865.228,2646.184	3146.345,2655.101	3429.882,2664.717	
0757.585,2866.366	1006.149,2872.150	1258.898,2878.421	1515.809,2885.584	1776.880,2893.156	2041.739,2901.631	2310.337,2910.688	2582.739,2920.497	2858.534,2930.953	3137.411,2941.950	3418.896,2953.958	
