Array X Count, Array Y Count,Start X ,Start Y, ResolutionX , ResolutionY
11,11,-49.250,49.250,9.850,-9.850
0722.000,0106.500	0977.000,0100.500	1236.000,0093.500	1499.000,0086.500	1765.000,0077.500	2035.000,0067.500	2308.000,0057.500	2585.000,0046.500	2864.000,0033.500	3147.000,0020.500	3432.000,0006.500	
0715.000,0385.500	0971.000,0380.500	1232.000,0374.500	1497.000,0368.500	1765.000,0361.500	2037.000,0353.500	2312.000,0344.500	2591.000,0335.500	2873.000,0325.500	3158.000,0314.500	3446.000,0303.500	
0710.000,0663.500	0968.000,0660.500	1229.000,0655.500	1495.000,0651.500	1765.000,0645.500	2038.000,0639.500	2315.000,0633.500	2595.000,0626.500	2880.000,0618.500	3167.000,0610.500	3457.000,0601.500	
0706.000,0943.500	0965.000,0940.500	1228.000,0937.500	1494.000,0934.500	1765.000,0930.500	2039.000,0926.500	2317.000,0921.500	2598.000,0916.500	2884.000,0911.500	3173.000,0905.500	3464.000,0899.500	
0704.000,1222.500	0964.000,1220.500	1227.000,1219.500	1494.000,1217.500	1765.000,1215.500	2039.000,1213.500	2317.000,1210.500	2600.000,1208.500	2886.000,1205.500	3175.000,1202.500	3467.000,1198.500	
0704.000,1501.500	0964.000,1501.500	1228.000,1501.500	1495.000,1500.500	1765.000,1500.500	2040.000,1500.500	2318.000,1499.500	2600.000,1499.500	2886.000,1498.500	3176.000,1498.500	3468.000,1497.500	
0707.000,1780.500	0966.000,1781.500	1230.000,1782.500	1496.000,1783.500	1766.000,1785.500	2040.000,1786.500	2318.000,1788.500	2600.000,1790.500	2886.000,1792.500	3175.000,1794.500	3467.000,1796.500	
0711.000,2059.500	0970.000,2061.500	1233.000,2063.500	1499.000,2066.500	1768.000,2069.500	2041.000,2073.500	2318.000,2076.500	2599.000,2080.500	2884.000,2085.500	3172.000,2089.500	3464.000,2094.500	
0718.000,2337.500	0975.000,2340.500	1237.000,2344.500	1502.000,2348.500	1770.000,2353.500	2042.000,2358.500	2317.000,2364.500	2597.000,2370.500	2881.000,2377.500	3168.000,2384.500	3458.000,2392.500	
0726.000,2614.500	0982.000,2619.500	1242.000,2624.500	1506.000,2630.500	1773.000,2636.500	2043.000,2643.500	2317.000,2651.500	2595.000,2659.500	2876.000,2668.500	3161.000,2678.500	3449.000,2688.500	
0737.000,2891.500	0991.000,2896.500	1249.000,2903.500	1511.000,2910.500	1775.000,2918.500	2043.000,2927.500	2315.000,2937.500	2591.000,2947.500	2870.000,2958.500	3153.000,2970.500	3438.000,2983.500	
